cell_id,min,max,std,z_range
addeohpi-1,16.20563,19.572533,0.8975194801742212,3.3669030000000006
addfjggc-1,16.174717,21.301842,1.1692407244249357,5.1271249999999995
addiffmj-1,16.204592,19.698048,0.9680651606420265,3.4934559999999983
addiflbj-1,15.349294,22.664633,1.4512907329132725,7.315338999999998
addjigol-1,16.10454,21.852865,1.005637144329733,5.748325000000001
addlejpb-1,15.362404,22.24595,1.3523982539728598,6.883546000000001
addlhjnm-1,16.365543,21.059254,1.1484852774091936,4.693711
addpnapk-1,15.51037,19.82443,1.019105629223122,4.31406
adeeacff-1,16.176964,19.844616,1.0443419191712089,3.667651999999997
adeefpgo-1,15.241986,21.559687,1.229814122916963,6.317701
adeifbne-1,15.03396,24.891459,1.5835095966769077,9.857499
adeldhip-1,15.452741,19.330593,1.028284922838685,3.8778520000000007
adencdge-1,15.999603,21.29787,1.2631867225000337,5.298266999999999
adenonlo-1,15.252675,23.725962,1.4118224188993616,8.473287
adeofinp-1,16.142666,19.564356,0.9131007915510385,3.4216900000000017
adfajmdj-1,16.046768,21.99349,1.0944267533987528,5.946722000000001
adfcdpel-1,16.194202,20.444324,1.1386862789418615,4.250122000000001
adfckmil-1,15.587652,20.961954,1.2402232417924757,5.374301999999998
adfdeejh-1,15.290965,21.134531,1.1400216327617478,5.843565999999999
adfeocnp-1,15.648557,22.10578,1.0766212611251922,6.457222999999999
adfhcifn-1,15.643949,20.209442,1.1548287636960306,4.565493
adfkkbjc-1,15.590596,19.247139,0.9808876240680907,3.656543000000001
adflfaen-1,15.613671,24.236216,1.5186251384792506,8.622544999999999
adfljhki-1,15.469922,20.850473,1.1519850977352386,5.3805510000000005
adfnnaci-1,15.591301,21.18884,1.1914010671185353,5.597538999999999
adgajkjh-1,15.521005,24.469084,1.2963632932629925,8.948078999999998
adghpdpa-1,15.826764,20.809826,1.258613640039272,4.983062
adgjacbn-1,15.010587,23.155024,1.2226674646941063,8.144437000000002
adhfbaai-1,15.908819,22.438566,1.3443621325067385,6.529747000000002
adhiknmb-1,15.493729,20.010277,0.9536969674457553,4.5165479999999985
adhpcaha-1,15.769994,21.202585,1.1348902673450014,5.432590999999999
adhpdlak-1,15.47539,21.317953,1.3594565500589795,5.842562999999998
adhpnfad-1,15.871489,19.852285,0.9894966053273728,3.980795999999998
adialadk-1,15.7822275,21.177683,1.3828021307352678,5.395455499999999
adiohhkm-1,15.733859,20.520723,1.0427981541682603,4.786864
adjjacdm-1,15.718883,21.340342,1.1962667303396826,5.621459
adjkkdho-1,15.617118,22.354187,1.1849938114716514,6.737069
adjndefa-1,15.761458,22.443346,0.9448974432821651,6.681887999999999
adjoadpj-1,15.848397,21.05701,1.2730704336074887,5.208612999999998
